,text,classification,reclassification
5759,"androgynous, the middle spikes staminate, the lower ones pistillate; perigynia ",morphology,morphology
5760,"3-6 mm long, nerved on both sides, winged in the upper half, narrowing into a ",morphology,morphology
5761,"bidentate beak; scales shorter than the perigynia, light brown with hyaline ",morphology,morphology
5762,"margins. Common; sandy areas, open pine woods, sometimes covering large ",habitat,habitat
5763,areas; Boreal forest. Syn.: C.foenea Willd. ,taxon_identification,taxon_identification
5764,Carex sprengelii Dewey sprengel'S sedge ,taxon_identification,taxon_identification
5765,"Plants with long, creeping rhizomes; culms 15-80 cm high, tufted. Sheaths ",morphology,morphology
5766,"smooth, loose; blades 2-A mm wide, flat, soft. Inflorescence 10-20 cm long; ",morphology,morphology
5767,"the upper 1-3 spikes staminate, 1-2 cm long; the lateral 2-4 spikes pistillate, ",morphology,morphology
5768,"2-A cm long, distant, on long slender ascending or drooping peduncles; perigynia 5-6 mm long, with the body subglobose, contracted into a bidentate ",morphology,morphology
5769,"beak as long as, or longer than, the body; scales narrower than the perigynia, ",key,key
5770,"greenish white. Open woods, shrubbery, and moist semiopen areas; throughout the Prairie Provinces. ",habitat,habitat
5771,Carex stenophylla Wahl. ssp. eleocharis (Bailey) Hulten low sedge ,taxon_identification,taxon_identification
5772,"Plants with slender, long creeping rhizomes; culms 3-20 cm high, solitary ",morphology,morphology
5773,"or tufted. Sheaths glabrous, loose; blades 1-2 mm wide, channeled to involute. ",morphology,morphology
5774,"Inflorescence 5-20 mm long, with 3-5 androgynous spikes, closely aggregated ",morphology,morphology
5775,"in a head; perigynia 2.5-3.5 mm long, dark brown at maturity; scales wider ",key,key
5776,than the perigynia. Often very abundant; dry grasslands; Prairies. ,habitat,habitat
5777,Carex stipata Muhl. awl-fruited sedge ,taxon_identification,taxon_identification
5778,"Plants with short, thick rhizomes; culms 10-100 cm high, erect, soft, ",morphology,morphology
5779,"winged on the angles. Sheaths glabrous, loose; blades 2-8 mm wide, often ",morphology,morphology
5780,"equaling or surpassing the culms. Inflorescence 1.5-10 cm long, compound, ",morphology,morphology
5781,"with 5-15 spikes aggregated into a head, the lower spikes sometimes approximate, the upper ones crowded; perigynia 4-6 mm long, yellowish, sharply ",morphology,morphology
5782,"nerved on both sides; scales smaller than the perigynia, brownish. Moist ",morphology,morphology
5783,"woods, swamps, and bogs; Parklands, Boreal forest. ",habitat,habitat
5784,Carex straminea Willd. straw-colored sedge ,taxon_identification,taxon_identification
5785,"Plants with short, stout rhizomes; culms 30-80 cm high, densely tufted. ",morphology,morphology
5786,"Sheaths glabrous, brownish; blades 2-6 mm wide. Inflorescence 1-6 cm long, ",morphology,morphology
5787,"Fig. 77. Hay sedge, Carex siccata Dewey. ",taxon_identification,taxon_identification
5788,"with 3-10 gynaecandrous spikes 7-10 mm long, approximate to somewhat distant; perigynia 3.5-7 mm long, suborbicular; scales smaller than the perigynia. ",morphology,morphology
5789,"Meadows, grasslands, open forest; Parklands, Boreal forest. A large species, ",habitat,habitat
5790,which has been divided as follows: ,morphology,morphology
5791,1. Perigynia broadest above the middle; ,key,key
5792,leaves 3-6 mm wide; sheaths loose C. cumulata (Bailey) Mack. ,key,key
5793,Perigynia broadest below the middle; ,key,key
5794,leaves 2-4 mm wide; sheaths tight 2 ,key,key
5795,"2. Perigynia thin, 5-7 mm long, 3-5 mm ",key,key
5796,"broad, distinctly veined on both sides C. bicknellii Britt. ",key,key
5797,"Perigynia thick, firm, 3.5-5 mm long, ",morphology,morphology
5798,"2-3.5 mm broad, obscurely veined or ",morphology,morphology
5799,veinless on the inside 3 ,key,key
5800,"3. Perigynia 4-5 mm long, strongly veined ",key,key
5801,"on the back, obscurely veined inside; ",morphology,key
5802,wings thick; scales almost reaching tip ,key,key
5803,of beak C. brevior (Dewey) Mack. ,taxon_identification,taxon_identification
5804,"Perigynia 3.5-4 mm long, obscurely ",morphology,morphology
5805,veined on both sides; wings thin; scales ,key,key
5806,reaching to base of beak 4 ,key,key
5807,4. Heads 1-3 cm long; spikes crowded; ,key,key
5808,leaves 2-3 mm wide C. molesta Mack. ,key,key
5809,Heads to 8 cm long; spikes more or less ,key,key
5810,separated; leaves 3^4 mm wide C. merritt-fernaldii Mack. ,key,key
5811,Carex stricta Lam. erect sedge ,taxon_identification,taxon_identification
5812,"Plants with long, scaly, rather stout rhizomes; culms 40-100 cm high, ",morphology,morphology
5813,"loose-tufted into large clumps. Sheaths brown or reddish below, tight; blades ",morphology,morphology
5814,"3-5 mm wide, flat. Inflorescence 5-15 cm long; the upper 1-3 spikes staminate, ",morphology,morphology
5815,"1-4 cm long; the \~4 lateral spikes pistillate, or sometimes androgynous, 2-6 ",morphology,morphology
5816,"cm long, erect, sessile or the lower ones short-peduncled, approximate or ",morphology,morphology
5817,"somewhat distant; perigynia 1.5-3 mm long, light green to straw-colored; ",morphology,morphology
5818,"scales variable, from narrower and shorter to broader and longer than the ",morphology,morphology
5819,"perigynia, reddish brown to purple brown. Marshy areas; southeastern Boreal ",morphology,morphology
5820,forest. ,habitat,habitat
5821,Carex supina Wahl. ssp. spaniocarpa (Steud.) Hulten weak sedge ,taxon_identification,taxon_identification
5822,"Plants with slender brown rhizomes; culms 8-30 cm high, sharply 3angled, slender. Sheaths glabrous; blades 0.5-2 mm wide, channeled, crowded, ",morphology,morphology
5823,often almost as high as the culms. Inflorescence 2-3 cm long; the terminal ,morphology,morphology
5824,"spike staminate, 10—15 mm long, pale; the 1-3 lateral spikes pistillate, 5 mm ",morphology,morphology
5825,"long, with 3-5 perigynia, approximate; perigynia 2.5-3 mm long, plump, lustrous, with a short beak; scales equaling the perigynia, light reddish brown. ",morphology,morphology
5826,"Rare; stony areas, beaches; southeastern Boreal forest, Parklands. ",habitat,habitat
5827,Carex sychnocephala Carey long-beaked sedge ,taxon_identification,taxon_identification
5828,"Plants densely tufted, with culms 10-50 cm high, erect or spreading. ",morphology,morphology
5829,"Sheaths smooth, tight; blades 2-5 mm wide, often exceeding the inflorescence, ",morphology,morphology
5830,flat. Inflorescence without the bracteal leaves 2-3 cm long; perigynia 5-6 mm ,morphology,morphology
5831,"long, lanceolate, green; scales smaller than the perigynia, hyaline with a green ",morphology,morphology
5832,"midrib. Wet meadows and lakeshores; Parklands, Boreal forest. ",habitat,habitat
5833,Carex tenuiflora Wahl. thin-flowered sedge ,taxon_identification,taxon_identification
5834,"Plants with very slender rhizomes; culms 20-60 cm high, slender. Sheaths ",morphology,morphology
5835,"smooth, loose; blades 1-2 mm wide, flat. Inflorescence 5-15 mm long, with 2-A ",morphology,morphology
5836,"gynaecandrous spikes approximate to crowded; perigynia 3-3.5 mm long, ",morphology,morphology
5837,"greenish; scales equaling the perigynia, white hyaline with green midrib. Rare; ",morphology,morphology
5838,"wet wood, bogs, and muskeg; Boreal forest. ",habitat,habitat
5839,Carex tetanica Schk. rigid sedge ,taxon_identification,taxon_identification
5840,"Plants with slender rhizomes; culms 30-60 cm high, tufted. Sheaths glabrous; blades 2-5 mm wide, flat. Inflorescence 5-10 cm long; the terminal spike ",morphology,morphology
5841,"staminate, 1-2 cm long, with the peduncle to 10 cm long; the 1-3 lateral spikes ",morphology,morphology
5842,"pistillate, 1-3 cm long, slender-peduncled, ascending; perigynia 3-4 mm long, ",morphology,morphology
5843,"light brown, finely veined; scales shorter than the perigynia, dark reddish ",morphology,morphology
5844,"brown with green midrib. Open grassland; southeastern Parklands, Boreal forest. Two varieties are represented: ",morphology,morphology
5845,Perigynia 2-ranked; the pistillate spikes 3-5 ,key,key
5846,mm thick var. woodii (Dewey) Wood ,key,key
5847,Perigynia 6-ranked; the pistillate spikes 5-7 ,key,key
5848,mm thick var. meadii (Dewey) Bailey ,key,key
5849,Carex tincta Fern. tinged sedge ,taxon_identification,taxon_identification
5850,"Plants with short rhizomes; culms 40-80 cm high, slender, sharply triangular, tufted. Sheaths somewhat cross-veined, with the membrane wrinkled; ",morphology,morphology
5851,"blades 2-4 mm wide, flat, firm. Inflorescence \~4 cm long, with 4-10 gynaecandrous spikes, approximate to closely crowded into a head; perigynia 3.5-4 ",morphology,morphology
5852,"mm long, brownish, sharply many nerved on the back, tapering into a serrate ",morphology,morphology
5853,"beak; scales about equaling the perigynia, reddish brown with green midrib ",morphology,morphology
5854,"and hyaline margins. Meadows and open woods; Parklands, Boreal forest. ",habitat,habitat
5855,Presumably a hybrid of species in the C. festucacea group. ,taxon_identification,taxon_identification
5856,Carex tonsa (Fern.) Bickn. bald sedge ,taxon_identification,taxon_identification
5857,"Plants with creeping rhizomes; culms poorly developed, hidden among ",key,key
5858,"the basal leaves. Sheaths reddish brown; blades 2-A mm wide, spreading, ",morphology,key
5859,"curved. Inflorescence 10-15 mm long, hidden among the leaves; perigynia ",key,key
5860,"1.5-3 mm long, glabrous or nearly so, yellowish brown, with the beak about ",morphology,morphology
5861,"1.0-1.5 mm long, curved, bidentate; scales equaling the perigynia, pale brown ",morphology,morphology
5862,"with green midrib. Open woods, sandy areas; Boreal forest. ",habitat,habitat
5863,Carex torreyi Tuck. TORREY'S SEDGE ,taxon_identification,taxon_identification
5864,"Plants with short rhizomes; culms 25-50 cm high, slender, weak, sharply ",morphology,morphology
5865,"triangular, somewhat pubescent below the inflorescence. Sheaths soft pubescent, tight; blades 1.5-4 mm wide, flat, pilose. Inflorescence 3-5 cm long; the ",morphology,morphology
5866,"terminal spike staminate, 5-15 mm long; the 1-3 lateral spikes pistillate, 5-15 ",morphology,morphology
5867,"mm long, sessile or short-peduncled; perigynia 2.5-3.5 mm long, yellowish ",morphology,morphology
5868,"green, strongly nerved, abruptly short-beaked; scales smaller than the perigynia, light brown with broad hyaline margins. Rare; in meadows and moist ",morphology,morphology
5869,"woods; Prairies, Parklands. ",habitat,habitat
5870,Carex thbuloides Wahl. prickly sedge ,taxon_identification,taxon_identification
5871,"Plants tufted, with culms 30-70 cm high, stout. Sheaths glabrous, tight; ",morphology,morphology
5872,"blades 3-7 mm wide. Inflorescence 2-5 cm long, with 7-12 spikes 6-12 mm ",morphology,morphology
5873,"long, approximate or crowded; perigynia 3-5 mm long, straw-colored, ",morphology,morphology
5874,"obscurely veined on both sides; scales smaller than the perigynia, pale brown ",morphology,morphology
5875,"with hyaline margins. Wet areas, marshes, and shores; southeastern Boreal ",habitat,habitat
5876,"forest. Includes C. projecta Mack., C cristatella Britt. ",taxon_identification,taxon_identification
5877,Carex trisperma Dewey three-seeded sedge ,taxon_identification,taxon_identification
5878,"Plants with slender rhizomes; culms 20-70 cm high, very slender and ",morphology,morphology
5879,"weak, often straggling. Sheaths glabrous, tight; blades to 30 cm long, 1-3 mm ",morphology,morphology
5880,"wide, flat. Inflorescence 3-6 cm long, with 1-3, but commonly 2, spikes 2-4 cm ",morphology,morphology
5881,"apart; the lower bract 2-4 cm long; spikes 3-5 mm long, gynaecandrous, with ",morphology,morphology
5882,"1-5 perigynia 2.5^4.0 mm long, greenish brown; scales shorter than to equaling the perigynia, with the center green and margins hyaline. Wet woods, bogs, ",morphology,morphology
5883,and marshes; Boreal forest. ,habitat,habitat
5884,Carex umbellata Schk. umbellate sedge ,taxon_identification,taxon_identification
5885,"Plants with stout rhizomes; culms 3-20 cm high. Sheaths purplish or reddish brown below; blades 1-3 mm wide, stiff, usually exceeding the culms. ",morphology,morphology
5886,"Inflorescence of two kinds: 1 culm with 1 terminal spike staminate, 5-10 mm ",key,key
5887,"long, sometimes with a pistillate spike below it; and 1-3 very short culms bearing 1 pistillate spike 4-10 mm long; perigynia 1.5-3 mm long, pubescent, yellowish green, with a prominent, often curved, beak; scales equaling the perigynia, with the center green and the margins hyaline. Open woods on sandy or ",morphology,morphology
5888,"stony soils; Boreal forest, Rocky Mountains. ",habitat,habitat
5889,Carex vaginata Tausch sheathed sedge ,taxon_identification,taxon_identification
5890,"Plants with long, slender, creeping rhizomes; culms 20-60 cm high, solitary or few together. Sheaths glabrous, tight; blades 2-5 mm wide, flat. ",morphology,morphology
5891,"Inflorescence 10-15 cm long; the terminal spike staminate, 1-2 cm long, ",morphology,morphology
5892,"peduncled; lateral spikes 1-3, often androgynous, 10-25 mm long, shortpeduncled, loosely spreading, or the lower ones drooping; perigynia 3-4 mm ",morphology,morphology
5893,"long, light brown, beaked; scales smaller than the perigynia, purplish brown. ",morphology,morphology
5894,"Wet woods, bogs, and muskeg; Boreal forest. ",habitat,habitat
5895,Carex vesicaria L. blister sedge ,taxon_identification,taxon_identification
5896,"Plants with stout, creeping rhizomes; culms 50-100 cm high, tufted. ",morphology,morphology
5897,"Sheaths glabrous, cross-veined; blades 3-7 mm wide, equaling the culms, or ",morphology,morphology
5898,those of sterile shoots exceeding them. Inflorescence 10-20 cm long; the \-A ,morphology,morphology
5899,"upper spikes staminate, 2-6 cm long; the lower spikes 1-3, but usually 2, pistillate, 3-5 cm long; perigynia 7-9 mm long, yellow green to light brown, ",morphology,morphology
5900,"inflated, strongly veined, with the beak about 2 mm long and having divergent ",key,key
5901,"teeth; scales smaller than the perigynia, light brown. Very rare; marshes and ",morphology,morphology
5902,lakeshores; southeastern Boreal forest. ,habitat,habitat
5903,Carex viridula Michx. green sedge ,taxon_identification,taxon_identification
5904,"Plants more or less densely tufted, with erect culms 5^0 cm high. Sheaths ",morphology,morphology
5905,"glabrous, loose; blades 1-3 mm wide, usually yellowish green. Inflorescence ",morphology,morphology
5906,"1-5 cm long; the terminal spike staminate, 5—15 mm long, peduncled, often ",morphology,morphology
5907,"barely exceeding the 2-6 pistillate spikes 5-10 mm long, crowded to approximate; the lowest bract much exceeding the inflorescence; perigynia 2-3.5 mm ",key,key
5908,"long, green or brownish green; scales about equaling the perigynia, yellowish ",morphology,morphology
5909,"brown. Wet areas, particularly calcareous or slightly alkali lakeshores; ",habitat,habitat
5910,throughout the Prairie Provinces. ,morphology,morphology
5911,Carex vulpinoidea Michx. FOX SEDGE ,taxon_identification,taxon_identification
5912,"Plants with short, stout rhizomes; culms 30-80 cm high, densely tufted. ",morphology,morphology
5913,"Sheaths glabrous, with the membrane greenish, clearly veined, and cross-wrinkled; blades 2-4 mm wide, commonly exceeding the leaves. Inflorescence 4—8 ",morphology,morphology
5914,"cm long, compound, with many densely crowded spikes; bracts up to 5 cm ",morphology,morphology
5915,"long, mostly well exserted; perigynia 2-3 mm long, yellowish green; scales ",morphology,morphology
5916,"about equaling the perigynia. Wet areas, meadows, and bogs; Boreal forest. ",habitat,habitat
5917,Carex xerantica Bailey white-scaled sedge ,taxon_identification,taxon_identification
5918,"Plants with short, thick rhizomes; culms 30-60 cm high, densely tufted. ",morphology,morphology
5919,"Sheaths glabrous; blades 2-3 mm wide, flat, stiff. Inflorescence 3-8 cm long, ",morphology,morphology
5920,"with 3-8 spikes 6-12 mm long, crowded toward the tip, approximate to distant ",morphology,morphology
5921,"below; perigynia 4—6 mm long, straw-colored to light brown; scales about ",morphology,morphology
5922,"equaling the perigynia, light brown, with the midrib green and the margins ",morphology,morphology
5923,"hyaline. Open woods, meadows, disturbed areas; Parklands, southern Boreal ",habitat,habitat
5924,"forest, Cypress Hills. ",habitat,habitat
5925,Cyperus nut-grass ,taxon_identification,taxon_identification
5926,"Triangular-stemmed plants with long grass-like leaves, mostly basal. ",key,key
5927,Flowers perfect and borne in spikelets or in an umbel-like inflorescence at the ,morphology,key
5928,summit of the stem. Fruit a 3-angled achene. ,key,key
5929,"1. Tip of the scales slender, recurved; spikelets greenish to pale brown, 2-10 mm ",key,key
5930,long; annual with fibrous roots C. inflexus ,key,key
5931,Tip of the scales not recurved; spikelets ,key,key
5932,"yellowish to brownish, to 20 mm long; ",morphology,morphology
5933,perennials with corm-like thickened ,morphology,morphology
5934,roots 2 ,key,key
5935,2. Joints of the rachilla with conspicuous ,key,key
5936,"hyaline wings; scales 3.5-6 mm long, ",key,key
5937,acute or mucronate G strigosus ,key,key
5938,"Joints of the rachilla sharp-edged, not ",morphology,morphology
5939,"winged; scales 2-4 mm long, awned or ",morphology,morphology
5940,mucronate 3 ,key,key
5941,3. Upper scales with an awn 0.5-1 mm long; ,key,key
5942,"achenes 2-3 mm long, about 1 mm ",morphology,key
5943,thick C. schweinitzii ,key,key
5944,Upper scales obtuse or short mucronate; ,morphology,morphology
5945,"achenes 1.5-2 mm long, about 1.2 mm ",morphology,morphology
5946,thick C. houghtonii ,key,key
5947,Cyperus houghtonii Torr. houghtows nut-grass ,taxon_identification,taxon_identification
5948,"Plants with short rhizomes; culms 20-70 cm high, obtusely angled, ",morphology,morphology
5949,"smooth; leaves 2-4 mm wide. Heads loosely fan-shaped; bracts 2-A, exceeding ",morphology,morphology
5950,"the inflorescence; spikelets 5-20 mm long; scales almost orbicular, 2-3 mm ",key,key
5951,"long; achene 1-1.5 mm long, ellipsoid, dark brown. Rare; sandy areas; southeastern Parklands, Boreal forest. ",morphology,morphology
5952,Cyperus inflexus Muhl. awned nut-grass ,taxon_identification,taxon_identification
5953,"Plants annual, low, tufted, fragrant when bruised or dried; culms 1-15 cm ",morphology,morphology
5954,"high, very slender; leaves 1-2 mm wide. Heads dense; bracts 2-4, much ",morphology,morphology
5955,"exceeding the inflorescence; spikelets 5-10 mm long; scales 1.5-3 mm long, ",key,key
5956,"oblong, strongly nerved, narrowed to a long, recurving, slender tip; achene ",morphology,morphology
5957,"0.6-1 mm long, 3-sided obovoid, pale brown. Rare; slough margins, Prairies. ",morphology,morphology
5958,Cyperus schweinitzii Torr. sand nut-grass ,taxon_identification,taxon_identification
5959,"Plants with hard, short, scaly rhizomes, with corm-like branches; culms ",morphology,morphology
5960,"10-70 cm high, sharply angled; leaves 2-6 mm wide, firm. Heads mostly obovoid; bracts 3-6, exceeding the inflorescence; spikelets 6-15 mm long; scales ",morphology,morphology
5961,"3.5-4.5 mm long, ovate, strongly nerved, with the midrib prolonged into a ",morphology,morphology
5962,"short awn; achene 2.5-3.5 mm long, 3-sided ellipsoid, light brown. Rare; sandhills; Parklands. ",morphology,morphology
5963,Cyperus strigosus L. STRAW-COLORED NUT-GRASS ,taxon_identification,taxon_identification
5964,"Plants with a hard, short, corm-like rhizome; culms tufted, 10-60 cm high, ",morphology,morphology
5965,"stout; leaves 2-12 mm wide, flat, soft. Heads compound, condensed to somewhat open; bracts 2-6 or 7, exceeding the inflorescence; spikelets compressed, ",morphology,morphology
5966,"5-10 mm long, yellowish; scales 3-4.5 mm long, oblong, strongly nerved; ",morphology,morphology
5967,"achene 1.5-2 mm, 3-sided, linear. Rare; moist meadows and swamps; eastern ",morphology,morphology
5968,"Parklands, southeastern Boreal forest. ",morphology,morphology
5969,Eleocharis spike-rush ,taxon_identification,taxon_identification
5970,"Perennial, sedge-like, slough margin plants, from coarse, creeping roots, ",morphology,morphology
5971,or annuals with fibrous roots. Leaves generally reduced to sheaths without ,morphology,morphology
5972,blades and all basal. Flowers perfect and borne in a spike at summit of stem. ,key,key
5973,1. Achenes lenticular or biconvex; stigmas ,key,key
5974,2 2 ,key,key
5975,Achenes triangular; stigmas 3 6 ,key,key
5976,2. Plants annual; the root system fibrous E. engelmannii ,key,key
5977,Plants perennial; the root system ,morphology,key
5978,rhizomatous 3 ,key,key
5979,3. Sterile basal scale 1 encircling the culm at ,key,key
5980,base of spikelet 4 ,key,key
5981,Sterile basal scales 2 or 3 at base of ,key,key
5982,spikelet 5 ,key,key
5983,"4. Tubercle narrowly conical, the base less ",key,key
5984,than half as wide as the achene; spikelets closely many-flowered E. calva ,key,key
5985,"Tubercle deltoid-conical, the base more ",key,key
5986,than half as wide as the achene; spikelets loosely few-flowered E. uniglumis ,key,key
5987,"5. Tubercle as broad as long; scales firm, ",key,key
5988,stiffly acuminate E. smallii ,key,key
5989,Tubercle much longer than broad; scales ,key,key
5990,"soft, scarious at the tip E. palustris ",key,key
5991,"6. Tubercle confluent with the achene, forming a beak 7 ",key,key
5992,"Tubercle distinctly jointed to the achene, ",key,key
5993,forming a cap 8 ,key,key
5994,"7. Spikelets to 20 mm long, many-flowered, ",key,key
5995,fusiform E. rostellata ,key,key
5996,"Spikelets to 7 mm long, 2- to 8-flowered, ",key,key
5997,ovoid E. pauci flora ,key,key
5998,"8. Culms to 2 dm high, loosely tufted, forming mats from slender rhizomes E. acicularis ",key,key
5999,"Culms 2-10 dm high, not matted, arising ",morphology,key
6000,from stout rhizomes 9 ,key,key
6001,9. Culms 4- to 8-angled; achene 0.6-1.1 mm ,key,key
6002,"long, including the tubercle E. elliptica ",key,key
6003,"Culms flattened; achene 1-1.5 mm long, ",key,key
6004,including the tubercle E. compressa ,key,key
6005,Eleocharis acicularis (L.) R. & S. needle SPIKE-RUSH ,taxon_identification,taxon_identification
6006,"Plants with very slender rhizomes, tufted, forming dense mats; culms slender, 2-15 cm high; sheaths loose. Spikelets flattened, 2-7 mm long, 3- to 15flowered; scales 1-2.5 mm long, membranous, with a green midrib; achenes ",morphology,morphology
6007,"0.7-1.2 mm long, whitish, ellipsoid. Common; around sloughs, in mud flats, ",morphology,morphology
6008,"along shores, and other wet places; throughout the Prairie Provinces. ",habitat,habitat
6009,Eleocharis calva Torr. bald spike-rush ,taxon_identification,taxon_identification
6010,"Plants with slender, reddish rhizomes; culms 10-50 cm high, solitary or ",morphology,morphology
6011,"loosely tufted; sheaths reddish, tight. Spikelets 10-20 mm long, lanceolate, ",morphology,morphology
6012,"densely flowered; scales 2-3 mm long, oblong-ovate, membranous, pale ",morphology,morphology
6013,"brown; achenes 1-1.5 mm long, narrowly obovoid, light brown. Not common; ",morphology,morphology
6014,"marshes, lakeshores, mud flats; southeastern Parklands. ",habitat,habitat
6015,Eleocharis compressa Sulliv. flattened spike-rush ,key,key
6016,"Plants with thick, hard rhizomes, 2-A mm thick; culms 15-50 cm high, ",morphology,morphology
6017,"flat, wiry; sheaths tight. Spikelets 5-15 mm long, ovoid to ellipsoid; scales 2-3 ",morphology,morphology
6018,"mm long, ovate, brown or purplish; achenes 1-1.5 mm long, bluntly 3-sided, ",morphology,morphology
6019,"golden brown. Marshy areas, sandy shores; Parklands. ",habitat,habitat
6020,Eleocharis elliptica Kunth slender spike-rush ,taxon_identification,taxon_identification
6021,"Plants with slender purplish rhizomes, 1-2 mm thick; culms 5-50 cm high, ",morphology,morphology
6022,"scattered or in small tufts; sheaths tight, reddish below. Spikelets 3-10 mm ",morphology,morphology
6023,"long, loosely flowered; scales 2-3.5 long, ovate, reddish brown; achenes about ",morphology,morphology
6024,"1 mm long, yellow or orange, prominently cross-ridged. Wet areas, sand ",key,key
6025,"dunes, shores, meadows; southeastern Parklands. ",habitat,habitat
6026,Eleocharis engelmannii Steud. engelm ANN'S spike-rush ,taxon_identification,taxon_identification
6027,"Plants annual, with culms 10-50 cm high, densely tufted; sheaths loose. ",morphology,morphology
6028,"Spikelets 4-15 mm long, ovoid-cylindric; scales 1-1.5 mm long, ellipticobovate, brownish; achenes 1-2 mm long, lustrous brown when ripe. Wet ",morphology,morphology
6029,"areas; Prairies, Parklands. ",habitat,habitat
6030,Eleocharis palustris (L.) R. & S. (Fig. 78) creeping spike-rush ,taxon_identification,taxon_identification
6031,"Plants with slender, long, creeping, reddish rhizomes; culms 10-60 cm ",morphology,morphology
6032,"high, firm; sheaths loose, red or brownish. Spikelets 5-20 mm long; scales 3-4 ",morphology,morphology
6033,"mm long, oblong-ovate, reddish brown; achenes 1-1.5 mm long, obovoid, light ",morphology,morphology
6034,"brown. Common; in shallow water, mud flats, and lakeshores; throughout the ",habitat,habitat
6035,Prairie Provinces. ,morphology,morphology
6036,Eleocharis pauciflor a (Lightf.) Link var. fernaldii Svenson ,taxon_identification,taxon_identification
6037,FEW-FLOWERED SPIKE-RUSH ,taxon_identification,taxon_identification
6038,"Plants with long, creeping rhizomes, often with scaly tubers; culms 10-30 ",morphology,morphology
6039,"cm high, in small tufts. Spikelets 3-6 mm long; scales 3-5 mm long, ovate, lustrous brown; achenes 2-2.5 mm long, net-veined, gray brown. Calcareous wet ",morphology,morphology
6040,soils; Boreal forest. ,habitat,habitat
6041,Eleocharis rostellata Torr. beaked spike-rush ,taxon_identification,taxon_identification
6042,"Plants with short caudex; culms 10-60 cm high, tufted; sheaths loose. ",morphology,morphology
6043,"Spikelets 6-12 mm long; scales 2-3 mm long, ovate, green with brown midrib; ",morphology,morphology
6044,"achenes 2-3 mm long, oblong-obovoid, olive brown. Wet soils; northwestern ",morphology,morphology
6045,Boreal forest. ,habitat,habitat
6046,Eleocharis smallii Britt. SMALL'S SPIKE-RUSH ,taxon_identification,taxon_identification
6047,"Plants with long-creeping rhizomes; culms 10-60 cm high; sheaths loose, ",morphology,morphology
6048,"reddish. Spikelets 5-20 mm long, loosely flowered; scales 3-5 mm long, lanceolate to narrowly ovate; achenes 1-1.5 mm long, obovoid, brown. Mud flats, ",morphology,morphology
6049,"peaty swamps, and shores; throughout the Prairie Provinces. ",habitat,habitat
6050,Eleocharis uniglumis (Link) Schultes one-glumed spike-rush ,taxon_identification,taxon_identification
6051,"Plants with slender reddish rhizomes; culms 10-50 cm high, loosely tufted, very slender; sheaths tight, reddish. Spikelets 1-1.5 cm long, loosely ",morphology,morphology
6052,"flowered; scales 2-3 mm long, thin; achenes 1-1.5 mm long, ellipsoid to obovoid. Wet areas, lakeshores; throughout the Prairie Provinces. ",morphology,morphology
6053,A.Q. Budd ,morphology,morphology
6054,"Fig. 78. Creeping spike-rush, Eleocharis palustris (L.) R. & S. ",taxon_identification,taxon_identification
6055,Eriophorum cotton-grass ,taxon_identification,taxon_identification
6056,"1. Spikelets several, spreading or pendulous ",key,key
6057,on peduncles; the involucre of one or ,key,key
6058,more leafy bracts 2 ,key,key
6059,Spikelets solitary at the tip of the stem; ,key,key
6060,the involucre lacking 4 ,key,key
6061,"2. Involucre a single bract, shorter than the ",key,key
6062,inflorescence; leaf blades 1-2 mm ,key,key
6063,wide E. gracile ,key,key
6064,"Involucre 2 or more bracts, about as long ",key,key
6065,as the inflorescence; leaf blades 2-8 ,key,key
6066,mm wide 3 ,key,key
6067,"3. Midrib of scales prominent, reaching the ",key,key
6068,tip of the scales; upper leaf sheaths not ,key,key
6069,dark at the collar E. viridi-carinatum ,key,key
6070,"Midrib of scales not prominent, not ",morphology,key
6071,reaching the tip of the scales; upper ,key,key
6072,leaf sheaths dark at the collar E. angustifolium ,key,key
6073,4. Plants stoloniferous; the culms solitary or ,key,key
6074,few together 5 ,key,key
6075,Plants not stoloniferous; the culms more ,key,key
6076,or less densely tufted 6 ,key,key
6077,"5. Scales lead gray to black, with narrow ",key,key
6078,pale margins; bristles bright white E. scheuchzeri ,key,key
6079,"Scales brownish to black, with wide hyaline margins; bristles pale reddish ",morphology,key
6080,brown E. chamissonis ,key,key
6081,"6. Scales with broad, whitish or hyaline margins, the basal ones reflexed; bristles ",key,key
6082,bright white E. vaginatum ,key,key
6083,"Scales without broad margins, the basal ",key,key
6084,ones not reflexed 7 ,key,key
6085,7. Bristles light brownish; upper sheaths ,key,key
6086,scarcely inflated E. brachyantherum ,key,key
6087,Bristles bright white; upper sheaths ,key,key
6088,strongly inflated E. callitrix ,key,key
6089,Eriophorum angustifolium Honck. tall cotton -grass ,key,key
6090,"Plants with short, stout rhizomes; culms 20-60 cm high, mostly solitary, ",morphology,morphology
6091,"soft blunt-angled. Sheaths smooth, reddish below, with blades 3-6 mm wide, ",morphology,morphology
6092,"flat to convolute, scabrous. Inflorescence with 2-10 spikelets; bracts 2-3, dark ",morphology,morphology
6093,"purple at the base; spikelets 1-2 cm long, divergent or drooping, with bristles ",morphology,morphology
6094,"2-5 cm long, white; scales lead gray to brownish; achenes 2.5-3.5 mm long. ",key,key
6095,"Muskeg, swamps, wet meadows; Boreal forest. ",habitat,habitat
6096,Eriophorum brachyantherum Trautv. close-sheathed cotton-grass ,taxon_identification,taxon_identification
