,0,1
6752,as long as the filaments J. arcticus ,key
6754,Group 2 ,key
6755,"Flowers borne singly in the inflorescence, ",morphology
6756,each one with a pair of bractlets 2 ,key
6757,Flowers borne in heads with several ,morphology
6758,flowers 7 ,key
6759,"Plants annual; inflorescence diffuse, ",morphology
6760,about half the height of the plant J. bufonius ,key
6761,Plants perennial; inflorescence much less ,key
6762,than half the height of the plant 3 ,key
6764,"3. Sepals obtuse, the tips curved inward; leaf ",key
6765,sheaths extending halfway up the ,morphology
6766,culm; rhizomes spreading J. compressus ,key
6767,"Sepals acute, the tips not curved inward; ",morphology
6768,leaf sheaths confined to the lower onethird of the culm; rhizomes erect 4 ,key
6769,4. Seeds with a tail-like appendage at each ,key
6770,end; leaves somewhat channeled J. vaseyi ,key
6771,Seeds without appendages; leaves flat or ,key
6772,involute 5 ,key
6773,5. Capsule completely 3-celled J. eonfusus ,key
6774,"Capsule not completely 3-celled, with the ",morphology
6775,partitions reaching less than halfway 6 ,key
6776,6. Perianth 4-6 mm long; leaf blades mostly ,key
6777,"less than half as long as the culm; auricles short, yellowish J. dudleyi ",key
6778,Perianth 3-4.5 mm long; leaf blades ,key
6779,mostly more than half as long as the ,key
6780,"culm; auricles long, whitish J. tenuis ",key
6781,7. Seeds without tail-like appendages J. longistylis ,key
6782,Seeds with tail-like appendages 8 ,key
6783,"8. Plants rhizomatous; heads 1-3, each with ",key
6784,6-8 flowers J. castaneus ,key
6785,"Plants tufted; heads solitary, with 1-6 ",morphology
6786,flowers 9 ,key
6787,9. Perianth dark brown to blackish; the ,key
6788,"bract leaf-like, as long as or slightly ",morphology
6789,longer than the inflorescence J. biglumis ,key
6790,Perianth whitish to pinkish or light ,morphology
6791,brown; the bract scale-like /. albescens ,key
6793,Group 3 ,key
6794,"1. Leaves flat, with the edge toward the ",key
6795,stem; the septa incomplete 2 ,key
6796,Leaves terete or occasionally somewhat ,morphology
6797,flattened; the septa complete 4 ,key
6798,2. Seeds with tail-like appendages J. tracyi ,key
6799,Seeds without tail-like appendages 3 ,key
6800,3. Stamens 3; stems strongly flattened; ,key
6801,sheaths not auricled J. ensifolius ,taxon_identification
6802,Stamens 6; stems not strongly flattened; ,key
6803,sheaths mostly auricled J. saximontanus ,key
6804,"4. Heads spherical, short-peduncled; stamens 6; capsules lanceolate 5 ",key
6805,"Heads at most hemispherical, longpeduncled; stamens 3 or 6; capsules ",key
6806,oblong 6 ,key
6807,5. Sepals longer than the petals; heads 10-15 ,key
6808,mm in diam with 25-80 flowers J. torreyi ,key
6809,Sepals as long as the petals; heads 7-10 ,key
6810,mm in diam with 10-20 flowers J. nodosus ,key
6811,6. Seeds with tail-like appendages 7 ,key
6812,Seeds without tail-like appendages 9 ,key
6813,"7. Heads usually solitary, densely manyflowered; perianth about 4 mm long, ",key
6814,dark brown J. mertensianus ,key
6815,Heads few to many in a more or less ,key
6816,diffuse inflorescence; perianth 2.5-5 ,key
6817,"mm long, color various 8 ",key
6818,"8. Perianth about 2.5 mm long; seeds shorttailed, 0.7-1.2 mm long, the body ",key
6819,longer than the tails J. brevicaudatus ,key
6820,"Perianth 4-5 mm long; seeds long-tailed, ",morphology
6821,"1.2-2 mm long, the body shorter than ",key
6822,the tails J. canadensis ,taxon_identification
6823,9. Branches of inflorescence erect or stiffly ,key
6824,ascending; plants in small tufts from ,morphology
6825,slender rhizomes; capsule straw-colored or light brown J. alpinus ,morphology
6826,Branches of inflorescence loosely ascending or spreading; plants densely tufted ,morphology
6827,from short rhizomes; capsule dark ,morphology
6828,shiny brown J. articulatus ,taxon_identification
6830,J uncus albescens (Lange) Fern. white rush ,taxon_identification
6831,"Plants loosely tufted, with stems 5-15 cm high, very slender; leaves 1-5 ",morphology
6832,"cm long, narrow. Inflorescence a single head, 1- to 5-flowered; lower bract ",morphology
6833,long-acuminate or awned as long as or longer than the first flower; perianth ,morphology
6834,whitish or pinkish; sepals 3^ mm long; capsule about 3.5 mm long; seeds ,morphology
6835,"1.5-2 mm long, smooth, brown, with tails shorter than the body. Moist areas; ",morphology
6836,Rocky Mountains. ,habitat
6837,Juncus alpinus Vill. alpine rush ,taxon_identification
6838,"Plants with creeping rhizomes; stems 15-50 cm high, in small tufts; stem ",morphology
6839,"leaves 1 or 2, seldom reaching the inflorescence, narrow. Inflorescence a cyme ",key
6840,"5-15 cm long; glomerules 3- to 12-flowered, obpyramidal; perianth segments ",morphology
6841,"2-3 mm long; capsule 2.5-3.5 mm long. Wet meadows, bogs, and lakeshores; ",morphology
6842,"Parklands, Boreal forest. ",morphology
6843,Juncus arcticus Willd. arctic rush ,taxon_identification
6844,"Plants with stout rhizomes; stems 10-50 cm high, stout. Inflorescence a ",morphology
6845,"cyme, few-flowered, with branches mostly simple; the bract appearing like a ",morphology
6846,"continuation of the stem; perianth segments 2.5-3.5 mm long, dark brown; ",morphology
6847,capsule about 3 mm long; seeds about 1 mm long. Sedge tundra; Boreal forest. ,morphology
6848,Juncus articulatus L. JOINTED RUSH ,taxon_identification
6849,"Plants tufted, with slender stems 20-60 cm high; stem leaves usually 2-4, ",morphology
6850,"mostly 3-8 cm long, strongly septate. Inflorescence a cyme 3-10 cm long, with ",morphology
6851,"branches ascending to divergent; glomerules 3- to 11 -flowered; perianth segments 2-3 mm long, brown; capsule 2.5^ mm long, chestnut or purple brown. ",key
6852,"Bogs, wet meadows, lakeshores; Boreal forest. ",habitat
6853,Juncus balticus Willd. BALTIC RUSH ,taxon_identification
6854,"Plants with long-creeping, thick rhizomes; stems 20-60 cm high, in more ",morphology
6855,"or less regular rows from the rhizomes, or singly; basal sheath 8-15 cm long, ",morphology
6856,"bladeless. Inflorescence appearing lateral, cymose or densely head-like, mostly ",morphology
6857,"2-8 cm long, occasionally to 12 cm long; perianth 4-5 mm long, purplish ",morphology
6858,"brown; capsule about 5 mm long, chestnut brown; seeds 0.8-1 mm long. Wet ",morphology
6859,"meadows, slough margins, sandhills, lakeshores, often in great abundance. A ",habitat
6860,variable species in which several varieties have been distinguished. Slender ,morphology
6861,plants with a small dense inflorescence have been named var. montanus ,key
6862,"Engelm. (Fig. 79); stout plants with a more open inflorescence, 4-8 or 12 cm ",key
6863,"long, are var. littoralis Engelm. Both varieties occur throughout the Prairie ",key
6864,Provinces. ,morphology
6865,Juncus biglumis L. two-glumed rush ,taxon_identification
6866,"Plants tufted, with stems 5-20 cm high; leaves basal, filiform. ",morphology
6867,Inflorescence a single head; the lowest bract mostly well-developed; perianth ,key
6868,"3-3.5 mm long; capsule 3.5 mm long, purplish black; seeds about 1.5 mm long, ",morphology
6869,"with white tails. Tundra; Hudson Bay, Boreal forest. ",habitat
6870,Juncus brevicaudatus (Engelm.) Fern. short-tail rush ,taxon_identification
6871,"Plants densely tufted, with stems 10-50 cm high, slender; leaves 1-2 mm ",morphology
6872,"in diam, erect. Inflorescence 3-12 cm long, narrow, with branches ascending to ",morphology
6873,"erect; glomerules few to many, each 2- to 7-flowered; perianth segments 2.5-3 ",key
6874,"mm long, 3-nerved; capsule 3.5-4.5 mm long; seeds about 1 mm long, with ",morphology
6875,"short tails. Marshes and lakeshores; Boreal forest, Parklands. ",habitat
6876,Juncus bufonius L. toad rush ,taxon_identification
6877,"Plants annual, with stems 3-20 cm high, tufted, erect or spreading; leaves ",morphology
6878,"about 1 mm wide. Inflorescence 2-10 cm long, spreading, freely branching; ",morphology
6879,"flowers singly or in twos or threes; perianth segments unequal, with sepals ",morphology
6880,"3.5-6.5 mm long, petals 3-5.5 mm long. Common in low, wet ground; throughout the Prairie Provinces. ",morphology
6881,Juncus canadensis J. Gay Canada rush ,taxon_identification
6882,"Plants tufted, with stems 40-100 cm high, stout and rigid; leaves 1.5-2.5 ",morphology
6883,"mm in diam, erect. Inflorescence 2-20 cm long, varying from compact to ",morphology
6884,"loosely branching; glomerules few to many, 2- to 10-flowered; perianth segments 2.5^4- mm long; capsule 3.5-5 mm long, brown; seeds about 1 mm long, ",morphology
6885,with white tails. Rare; marshes and wet meadows; northeastern Parkland and ,habitat
6886,Boreal forest. ,habitat
6889,"Fig. 79. Baltic rush, Juncus balticus Willd. var. montanus Engelm. ",taxon_identification
6891,Juncus castaneus Sm. chestnut rush ,taxon_identification
6892,"Plants with slender rhizomes; stems 20-40 cm high, erect; leaves 1-2 mm ",morphology
6893,"wide, basal. Inflorescence 2-5 cm long; the involucral leaf 2-8 cm long; glomerules 1-3, the lowest ones sessile or nearly so, the upper one peduncled, 10—18 ",morphology
6894,"mm in diam; perianth segments 5-7 mm long, chestnut brown; capsule 6-9 ",morphology
6895,"mm long, with a conspicuous beak; seeds 2.5^ mm long, with long slender ",morphology
6896,"tails. Arctic and alpine meadows and tundra; Boreal forest, Rocky Mountains. ",habitat
6897,Juncus compressus Jacq. flattened rush ,taxon_identification
6898,"Plants with slender rhizomes; stems 20-60 cm high, erect, tufted; leaves 1 ",morphology
6899,"mm wide, erect. Inflorescence 2-10 cm long, cymose, with branches ascending, ",morphology
6900,"bearing many-flowered glomerules; perianth segments 2-2.5 mm long, purple ",morphology
6901,brown; capsule 2-3 mm long; seeds about 1 mm long. Introduced; wet ,key
6902,"ground, salt marshes; Manitoba. ",habitat
6903,Juncus confusus Cov. few-flowered rush ,taxon_identification
6904,"Plants tufted, with stems 30-50 cm high, slender; leaves filiform. ",morphology
6905,"Inflorescence 5-20 mm long, compact, pale; perianth segments 3.5-4 mm long, ",morphology
6906,brown with a yellowish midrib and narrow margins; capsule 3-3.5 mm long; ,morphology
6907,"seeds about 1 mm long. Moist grassland, open woods, and meadows; southern ",morphology
6908,Rocky Mountains. ,habitat
6909,Juncus drummondii E. Mey. drummond'S rush ,taxon_identification
6910,"Plants densely tufted, with the base matted, persistent; stems 10-30 cm ",morphology
6911,"high, erect; sheaths short, bladeless, or the blade bristle-like. Inflorescence 1to 5-flowered; the bract appearing like a continuation of the stem; perianth ",morphology
6912,"segments 5-7 mm long, brown with a light midrib; capsule 5-7 mm long, triangular; seeds about 2 mm long, tailed at both ends. Moist places; Rocky Mountains. ",morphology
6913,Juncus dudleyi Wieg. DUDLEY'S RUSH ,taxon_identification
6914,"Plants densely or loosely tufted, with stems 30-60 cm high; leaves basal, ",morphology
6915,"flat, 10-30 cm long; auricles of sheaths rounded, papery, yellowish. ",morphology
6916,"Inflorescence 2-5 cm long, with the few branches loosely ascending; perianth ",morphology
6917,segments 3.5-5.5 mm long; capsule 3^t mm long; seeds about 0.4 mm long. ,morphology
6918,"Moist or dry soil, waste areas; throughout the Prairie Provinces. Syn.: J. tenuis ",habitat
6919,Willd. var. dudleyi (Wieg.) Hermann. ,taxon_identification
6920,Juncus ensifolius Wikstr. equitant-leaved rush ,taxon_identification
6921,"Plants tufted, with stems 30-60 cm high, flattened, sharply 2-keeled; ",morphology
6922,"leaves 2-6 mm wide, flat. Inflorescence 15-70 mm long, with 2-6 heads, about ",morphology
6923,"1 cm thick, many-flowered, brownish; perianth segments about 3 mm long, ",morphology
6924,"dark brown; capsule about 3 mm long; often somewhat exceeding the perianth, dark brown; seeds about 0.3 mm long. Riverbanks, lakeshores; Rocky ",morphology
6925,"Mountains, Cypress Hills. ",habitat
6926,Juncus filiformis L. thread RUSH ,taxon_identification
6927,"Plants with slender rhizomes; stems 10-40 cm high, arising from the rhizomes in rows, or in small tufts; leaves short, thick. Inflorescence 2-4 cm long, ",morphology
6928,"sparingly branched, few-flowered; involucral leaf erect, to 20 cm long; perianth segments 2.5^.5 mm long, greenish, with hyaline margins; capsules 2.5-4 ",morphology
6929,"mm long; seeds about 0.3 mm long. Lakeshores, bogs, and alpine meadows; ",morphology
6930,"Boreal forest, rare in northeastern Parkland. ",habitat
6931,J uncus longistylis Torr. long-styled rush ,taxon_identification
6932,"Plants with slender rhizomes; stems solitary, 20-60 cm high; leaves ",morphology
6933,"mostly basal, 1^4 mm wide, flat; stem leaves short, flat or involute. ",morphology
6934,"Inflorescence 2-3 cm long, with 1-5 heads 8-15 mm across, 2- to 8-flowered; ",morphology
6935,"perianth segments 4.5-6 mm long, greenish brown; capsule 4-5 mm long, ",morphology
6936,"brownish; seed about 0.5 mm long, tailed at both ends. Fairly common; wet ",morphology
6937,"meadows, lakeshores, and riverbanks; Prairies, Parklands, Boreal forest. ",habitat
6938,Juncus mertensianus Bong. slender-stemmed rush ,taxon_identification
6939,"Plants with matted rhizomes; stems 10-40 cm high, densely tufted; leaves ",morphology
6940,"1-2 mm wide, compressed, septate. Inflorescence usually a solitary head, occasionally 2 or 3 heads, dark brown, almost spherical; perianth segments 3.5^.5 ",morphology
6941,"mm long, dark brown; capsule 3.5^4.5 mm long, dark brown; seeds 1 mm ",morphology
6942,"long, reticulate. Rare; wet ground, meadows, and slopes; Rocky Mountains, ",habitat
6943,Cypress Hills. ,habitat
6944,Juncus nodosus L. knotted rush ,taxon_identification
6945,"Plants with slender rhizomes; stems 20-60 cm high, erect; leaves to 10 cm ",morphology
6946,"long, and 1.5 mm thick, septate. Inflorescence a cyme 2-5 cm long, contracted ",morphology
6947,"or more or less open with 2-20 globose heads, 7-12 mm in diam, 10- to 25flowered; perianth segments 2.5-4 mm long, reddish brown; capsule 3.5^.5 ",morphology
6948,"mm long; seeds 1.5 mm long. Bogs, marshes, and lakeshores; Prairies, Parklands, Boreal forest. ",morphology
6949,Juncus parryi Engelm. PARRY'S RUSH ,taxon_identification
6950,"Plants densely tufted, with stems 10-30 cm high, slender; leaves only from ",morphology
6951,"the upper sheaths. Inflorescence a single head, 1- to 3-flowered; perianth segments 6-7 mm long; capsule about 7 mm long; seeds about 0.5 mm long, ",key
6952,tailed at both ends. Mountain slopes and meadows; Rocky Mountains. ,habitat
6953,Juncus saximontanus A. Nels. rocky mountain rush ,taxon_identification
6954,"Plants with stout creeping rhizomes; stems 20-50 cm high, compressed; ",morphology
6955,"leaves 2-A mm wide, flat, with the edge toward the stem, 10-20 cm long. ",morphology
6956,"Inflorescence 6-10 cm long, with 2-12 heads, 4-6 mm across, few- to manyflowered; perianth segments 2.5-3.5 mm long, dark brown; capsule about 3 ",morphology
6957,"mm long; seeds 0.5 mm long, reticulate. Marshes and wet areas; Rocky Mountains, Cypress Hills. ",morphology
6958,Juncus tenuis Willd. slender rush ,taxon_identification
6959,"Plants loosely or densely tufted, with stems 10-60 cm high, mostly erect; ",morphology
6960,"leaves mostly basal, 10-25 cm long, flat or involute; the sheaths conspicuously ",morphology
6961,"long auricled. Inflorescence a cyme 2-8 cm long, commonly exceeded by the ",morphology
6962,"involucral leaf, compact to open; perianth segments 3-5 mm long; capsule 3-4 ",key
6963,"mm long, straw-colored; seeds about 0.5 mm long. Moist to wet areas; Prairies, Parklands, Boreal forest. ",morphology
6964,Juncus torreyi Cov. torrevs rush ,taxon_identification
6965,"Plants with slender tuberous-thickened rhizomes; stems 40-80 cm high, ",morphology
6966,"stout, rigid, erect; leaves 1-3 mm thick, 10-30 cm long; sheaths with auricles ",morphology
6967,"2.5-3.5 mm long. Inflorescence 2-4 cm long, with 2 to many heads, usually ",morphology
6968,"crowded; heads 10-15 mm in diam, globose; 25- to 100-flowered; perianth segments unequal, with the petals 4.5-5 mm long, the sepals 3.5-5 mm, linear-lanceolate; capsule 4.5-5.5 mm long, narrowly lanceolate; seeds about 0.3 mm ",morphology
6969,"long. Wet areas; Prairies, Parklands. ",habitat
6970,Juncus tracyi Rydb. MUD RUSH ,taxon_identification
6971,"Plants with stout rhizomes; stems 30-60 cm high, stout, compressed; ",morphology
6972,"leaves 5-20 cm long, 2-4 mm wide. Inflorescence 4-8 cm long, with 5-9 heads, ",morphology
6973,"8-10 mm in diam; perianth segments 3-4 mm long, light brown; capsule about ",morphology
6974,"3-3.5 mm long, brown; seeds 0.5 mm long, reticulate. Rare; wet areas; northern Rocky Mountains. ",key
6975,Juncus vaseyi Engelm. big-head rush ,taxon_identification
6976,"Plants with short rhizomes; stems 30-80 cm high, erect, tufted; basal ",morphology
6977,"leaves to 30 cm long, terete or nearly so. Inflorescence \-4 cm long, compact; ",morphology
6978,"perianth segments 3.5-4.5 mm long, brown; capsule 4-5.5 mm long, truncate, ",morphology
6979,"straw-colored; seeds 0.5-0.8 mm long, conspicuously tailed at both ends. ",morphology
6980,"Moist soil, meadows, and lakeshores; Prairies, Parklands, Boreal forest. ",habitat
6982,Luzula wood-rush ,taxon_identification
6983,Similar to Juncus but capsule 1 -celled with 3 seeds; foliage more or less ,key
6984,pilose. ,morphology
6985,1. Flowers solitary or in pairs at the end of ,key
6986,branches of the inflorescence 2 ,key
6987,Flowers few to many in glomerules 5 ,key
6988,2. Seeds with a tail-like appendage about as ,key
6989,long as the body L. pilosa ,key
6990,Seeds without a tail-like appendage 3 ,key
6991,3. Perianth about 3 mm long; panicle ,key
6992,"branches ascending ,.. L. glabrata ",key
6993,Perianth about 1-2 mm long; panicle ,key
6994,branches spreading to drooping 4 ,key
6995,4. Leaves 4-10 mm wide; usually 3-6 leaves ,key
6996,"on the plant, shiny green L. parviflora ",key
6997,Leaves 2-5 mm wide; usually 1 or 2 ,key
6998,"leaves on the plant, dull green L. wahlenbergii ",key
6999,"5. Seeds without a tail-like appendage, but ",key
7000,with a tuft of minute hairs L. confusa ,key
7001,"Seeds with a tail-like appendage, without ",morphology
7002,hairs 6 ,key
7003,6. Appendage well-developed; perianth segments 2.5-3.5 mm long L. campestris ,key
7004,Appendage of seeds small; perianth segments 2-2.5 mm long 7 ,key
7005,7. Sepals ciliate on the margins; leaves 1-4 ,key
7006,"mm wide, subulate at the tip L. spicata ",key
7007,Sepals with entire or lacerate margins; ,key
7008,"leaves 2-6 mm wide, blunt, ",morphology
7009,callus-tipped L. groenlandica ,taxon_identification
7010,Luzula campestris (L.) DC. field wood-rush ,taxon_identification
7011,"Plants tufted, with stems 20-40 cm high; leaves 2-6 mm wide, flat; cauline ",morphology
7012,"leaves 2 or 3, short. Inflorescence 3-5 cm long, with slender ascending peduncles, and one or more sessile glomerules; perianth segments 2.5-3.5 mm long; ",morphology
7013,"capsule 3.5 mm long; seeds 1-1.3 mm long, with the appendage 0.4—0.5 mm. ",morphology
7014,"Dry to moist woods; Boreal forest, Cypress Hills. ",habitat
7015,Luzula confusa Lindeb. northern wood-rush ,taxon_identification
7016,"Plants densely tufted, with stems 10-30 cm high; leaves 1-3 mm wide; ",morphology
7017,"stem leaves 2 or 3, short. Inflorescence 3-5 cm long, with 2-5 glomerules on ",key
7018,"slender peduncles, or occasionally the glomerules crowded into a short spike; ",morphology
7019,"perianth segments 2.5-3 mm long, brown; capsule 3 mm long, red brown; ",morphology
7020,"seeds 1-1.2 mm long, with a tuft of minute hairs. Gravel ridges and barrens; ",morphology
7021,"Hudson Bay, Boreal forest, also reported from Rocky Mountains. ",habitat
7022,Luzula glabrata (Hoppe) Desv. smooth wood-rush ,taxon_identification
7023,"Plants with scaly rhizomes; stems 20-50 cm high; leaves 4-10 mm wide, ",morphology
7024,"with stem leaves well-developed. Inflorescence 6-10 cm long, with the ",morphology
7025,"branches ascending or spreading; perianth segments 3-3.5 mm long, dark ",morphology
7026,"brown; capsule about 3 mm long, almost black; seeds 1-1.3 mm long, with a ",morphology
7027,tuft of hairs. Meadows and slopes; southern Rocky Mountains. ,habitat
7028,Luzula groenlandica Boecher Greenland wood-rush ,habitat
7029,"Plants tufted; stems 20-50 cm high; leaves 3-7 mm wide, flat, with stem ",morphology
7030,"leaves 2 or 3, short. Inflorescence 3-5 cm long; perianth segments 2-2.5 mm ",key
7031,"long; capsule 2.5-3 mm long, dark brown; seeds about 1 mm long, with the ",morphology
7032,appendage short. Tundra; Hudson Bay. ,morphology
7033,Luzula parviflora (Ehrh.) Desv. small-flowered wood-rush ,taxon_identification
7034,"Plants with creeping rhizomes; stems 20-60 cm high, erect; leaves 5-10 ",morphology
7035,"mm wide. Inflorescence 5-12 cm long, with branches loosely spreading to ",morphology
7036,"drooping; perianth segments 1.5-2.5 mm long, pale brown; capsule 2-2.5 mm ",morphology
7037,"long, dark brown; seeds 1-1.4 mm long, with a tuft of long hairs. Infertile soil, ",morphology
7038,"open forests; Boreal forest, Rocky Mountains. ",habitat
7039,Luzula pilosa (L.) Willd. var. saltuensis (Fern.) Boiv. hairy wood-rush ,taxon_identification
7040,Plants tufted from short rhizomes; stems 10^40 cm high; leaves 3-10 mm ,morphology
7041,"wide, and up to 30 cm long, with stem leaves 2-\, shorter and narrower than ",morphology
7042,"the basal leaves. Inflorescence 3-6 cm long, with branches loosely spreading; ",morphology
7043,"perianth segments 2.5^.5 mm long, the center chestnut brown, with narrow ",morphology
7044,"margins; capsule 3-4.5 mm long, brown; seeds about 1 mm long, with the ",morphology
7045,appendage about equaling the body. Open woods; Boreal forest. ,morphology
7046,Luzula spicata (L.) DC. spiked wood-rush ,taxon_identification
7047,"Plants densely tufted, with stems 10-30 cm high, slender; leaves 1-^4 mm ",morphology
7048,"wide; stem leaves 1-3, short. Inflorescence 1-3 cm long, spike-like, often nodding, with the glomerules dense, sessile; perianth segments 2-2.5 mm, bristlepointed, brown; capsule 2.5 mm long, red brown; seeds 1-1.2 mm long, with a ",morphology
7049,"short appendage. Arctic and alpine meadows; Boreal forest, Rocky Mountains. ",habitat
7050,Luzula wahlenbergii Rupr. mountain wood-rush ,taxon_identification
7051,"Plants with rhizomes; stems 20-60 cm high, erect; leaves 3-8 mm wide; ",morphology
7052,"stem leaves well-developed, thick, dull. Inflorescence 5-10 cm long, with the ",morphology
7053,"slender branches spreading and drooping; perianth segments 1.5-2.5 mm long, ",morphology
7054,"pale; capsule 2-2.5 mm long, dark brown; seeds 1-1.3 mm long, gray brown to ",morphology
7055,yellow with a tuft of long hairs. Meadows and open forests; southern Rocky ,key
7056,Mountains. ,habitat
7058,LILIACEAE — lily family ,taxon_identification
7059,"Perennial herbs growing from bulbs, corms, or rootstocks. With a few ",morphology
7060,"exceptions, the leaves are parallel-veined. Except in the Maianthemum genus, ",key
7061,"the flowers have 3 sepals and 3 petals, all colored, and 6 stamens in 2 whorls. ",key
7062,The fruit is a capsule or a berry. ,key
7063,"1. Leaves reduced to thin, dry scales; ",key
7064,"branchlets filiform; flowers small, ",morphology
7065,greenish Asparagus ,key
7066,"Leaves normal, not reduced to scales 2 ",key
7067,2. Plants climbing with tendrils; leaves ,key
7068,"roundish, net-veined, flowers in axillary ",morphology
7069,umbels Smilax ,key
7070,Plants not climbing 3 ,key
7071,"3. Leaves linear, many times as long as wide 4 ",key
7072,"Leaves variously shaped, not more than ",key
7073,five times as long as wide 12 ,key
7074,"4. Flowers orange, large, 5-7 cm long Lilium ",key
7075,"Flowers not orange, smaller 5 ",morphology
7076,"5. Inflorescence an umbel, head-like cluster, ",morphology
7077,or few-flowered 6 ,key
7078,Inflorescence a many-flowered raceme 7 ,key
7079,"6. Inflorescence few-flowered; flowers yellowish white, large, to 25 mm long Calochortus ",key
7080,Inflorescence an umbel or head-like cluster; flowers 5-15 mm long Allium ,key
7081,"7. Flowers purplish blue, to 2 cm long Camassia ",key
7082,Flowers not purplish blue 8 ,key
7083,"8. Flowers greenish or reddish brown, 10-15 ",morphology
7084,"mm long, nodding on slender pedicels Stenanthium ",morphology
7085,"Flowers some shade of white, in erect ",morphology
7086,racemes 9 ,key
7087,"9. Flowers large, 3-5 cm long; leaves with a ",key
7088,rigid point at the tip Yucca ,key
7089,"Flowers smaller, to 1.5 cm long; leaves ",morphology
7090,not with a rigid point 10 ,key
7091,"10. Racemes large, densely flowered; leaves ",key
7092,rough; stems to 1.2 m high Xerophyllum ,morphology
7093,"Racemes slender, loosely flowered; leaves ",morphology
7094,smooth; plants not more than about ,key
7095,0.6 m high 1 1 ,key
7096,"1 1. Leaves keeled, V-shaped in cross section; ",key
7097,flowers 5-15 mm long Zygadenus ,morphology
7098,Leaves flat; flowers to 5 mm long Tofieldia ,key
7099,"12. Flowers solitary or in umbels, terminal 13 ",key
7100,"Flowers axillary, in panicles or in ",morphology
7101,racemes 17 ,key
7102,13. Stems leafy 14 ,key
7103,Stems leafless 16 ,key
7104,14. Flowers white or pinkish Trillium ,key
7105,Flowers orange yellow or straw yellow 15 ,key
7106,15. Flowers nodding; plants with a deepseated bulb Fhtillaha ,key
7107,Flowers erect or nodding; plants with ,morphology
7108,rhizomes Uvulaha ,morphology
7109,"16. Flowers bright yellow, nodding; fruit a ",key
7110,capsule; leaves glabrous Erythronium ,key
7111,Flowers white or greenish white; fruit a ,morphology
7112,bluish berry; leaves pilose beneath Clintonia ,key
7113,"17. Flowers in a large, diffuse panicle Veratrum ",key
7114,"Flowers axillary or in racemes, or at tips ",morphology
7115,of branches 18 ,key
7116,18. Flowers \^\ at the tip of the stem or ,key
7117,branches; fruit a red or orange berry Disporum ,key
7118,Flowers axillary or in racemes 19 ,key
7119,19. Flowers axillary 20 ,key
7120,Flowers in racemes 21 ,key
7121,20. Perianth segments free at the tip only Polygonatum ,key
7122,Perianth segments free to the base Streptopus ,key
7123,"21. Plants small, usually with only 2 or 3 ",key
7124,leaves; raceme small Maianthemum ,key
7125,"Plants large, with leafy stems; racemes ",morphology
7126,simple or paniculate Smilacina ,morphology
7128,Allium onion ,taxon_identification
7129,"Strong-scented herbs growing from a bulbous root, which is generally ",key
7130,"covered with a fibrous coat. Leaves linear and narrow, flowers brightly colored ",morphology
7131,and borne in umbels. Fruit a capsule containing dark seeds. ,key
7132,1. Flower stalks shorter than individual ,key
7133,flowers; leaves circular in cross section ,key
7134,and hollow A. schoenoprasum ,taxon_identification
7135,Flower stalks longer than individual ,morphology
7136,flowers; leaves not hollow 2 ,key
7137,2. Umbel nodding or drooping A. cernuum ,key
7138,Umbel erect 3 ,morphology
7139,3. Flowers rose-colored A. stellatum ,key
7140,Flowers white or pale pink A. textile ,morphology
7141,Allium cernuum Roth nodding onion ,taxon_identification
7142,"Growing from coarse-necked bulbs, usually on a short rhizome; flower ",morphology
7143,heads rose or rarely white. Found occasionally; in grassy openings; Parklands. ,morphology
7144,Allium schoenoprasum L. var. sibiricum (L.) Hartm. wild chives ,taxon_identification
7145,"Perennial from small bulbs, 20-50 cm high, with many hollow leaves up ",morphology
7146,"to 3 mm thick and circular in cross section. Inflorescence a dense, compact ",morphology
7147,umbel 2-5 cm across; flower stalks very short and flowers bright rose pink. ,morphology
7148,"Not common; moist areas, meadows, and coulees; Rocky Mountains, Boreal ",habitat
7149,forests. ,habitat
7150,Allium stellatum Fraser pink-flowered onion ,taxon_identification
7151,Erect umbels of pink or rose flowers from a membranous-coated bulb. ,morphology
7152,Fairly common; in wooded lands; throughout Parklands. ,habitat
7153,Allium textile Nels. & Macbr. (Fig. 80) prairie onion ,taxon_identification
7154,"A low plant, from an onion-like bulb having a net-like coating and a very ",morphology
7155,"pungent odor. From 8-25 cm high, with umbels of white or pale pink flowers, ",morphology
7156,"which blossom early in season. Common; on dry prairie; throughout Prairies, ",habitat
7157,Parklands. ,morphology
7158,Asparagus asparagus ,taxon_identification
7159,Asparagus officinalis L. asparagus ,taxon_identification
7160,Plants with succulent rhizomes; stems 60-150 cm high; branches filiform; ,morphology
7161,"leaves scaly. Flowers small, yellowish green, axillary, with the pedicels jointed; ",morphology
7162,"fruit a red berry. Introduced, occasionally escaped from cultivation. ",key
7163,Calochortus mariposa lily ,taxon_identification
7164,Calochortus apiculatus Baker mariposa lily ,taxon_identification
7165,Plants with ovoid bulbs and membranous scales; stems 10-30 cm high; ,morphology
7166,"leaf solitary, basal, 5-15 mm wide. Flowers 1^4, yellowish white, 3-5 cm ",morphology
7167,across; the sepals shorter than the petals; stamens 6; stigmas 3; fruit a ,key
7168,"3-angled capsule. Dry slopes, open woods; southern Rocky Mountains. ",habitat
7170,"Fig. 80. Prairie onion, Allium textile Nels. & Macbr. ",taxon_identification
7172,Camassia camas ,taxon_identification
